n,f,fCount,S,maxS,decision,countViEQ0,countViEQ1
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,6,4
10,0,0,1,1,1,3,7
10,0,0,1,1,0,6,4
10,0,0,1,1,0,6,4
10,0,0,1,1,0,6,4
10,0,0,1,1,0,6,4
10,0,0,1,1,0,6,4
10,0,0,1,1,-1,5,5
10,0,0,1,1,1,4,6
10,0,0,1,1,1,4,6
10,0,0,1,1,1,3,7
10,0,0,1,1,-1,5,5
10,0,0,1,1,1,3,7
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,7,3
10,0,0,1,1,0,7,3
10,0,0,1,1,-1,5,5
10,0,0,1,1,1,3,7
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,7,3
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,8,2
10,0,0,1,1,-1,5,5
10,0,0,1,1,1,4,6
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,6,4
10,0,0,1,1,1,3,7
10,0,0,1,1,0,7,3
10,0,0,1,1,1,4,6
10,0,0,1,1,0,7,3
10,0,0,1,1,0,6,4
10,0,0,1,1,0,8,2
10,0,0,1,1,1,3,7
10,0,0,1,1,-1,5,5
10,0,0,1,1,-1,5,5
10,0,0,1,1,-1,5,5
10,0,0,1,1,1,4,6
10,0,0,1,1,-1,5,5
10,0,0,1,1,1,3,7
10,0,0,1,1,1,4,6
10,0,0,1,1,0,7,3
10,0,0,1,1,0,7,3
10,0,0,1,1,0,6,4
10,0,0,1,1,0,7,3
10,0,0,1,1,1,4,6
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,7,3
10,0,0,1,1,-1,5,5
10,0,0,1,1,-1,5,5
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,6,4
10,0,0,1,1,1,4,6
10,0,0,1,1,1,3,7
10,0,0,1,1,1,3,7
10,0,0,1,1,1,3,7
10,0,0,1,1,1,4,6
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,6,4
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,6,4
10,0,0,1,1,1,4,6
10,0,0,1,1,1,2,8
10,0,0,1,1,1,3,7
10,0,0,1,1,-1,5,5
10,0,0,1,1,1,1,9
10,0,0,1,1,0,7,3
10,0,0,1,1,0,7,3
10,0,0,1,1,0,6,4
10,0,0,1,1,0,7,3
10,0,0,1,1,0,6,4
10,0,0,1,1,0,7,3
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,6,4
10,0,0,1,1,0,7,3
10,0,0,1,1,-1,5,5
10,0,0,1,1,-1,5,5
10,0,0,1,1,0,6,4
10,0,0,1,1,1,3,7
10,0,0,1,1,1,3,7
10,0,0,1,1,1,2,8
10,0,0,1,1,1,4,6
10,0,0,1,1,1,4,6
10,0,0,1,1,1,4,6
10,0,0,1,1,1,4,6
10,0,0,1,1,0,6,4
10,0,0,1,1,1,3,7
10,0,0,1,1,1,3,7
10,0,0,1,1,1,3,7
